Data polled every ~10 seconds starting from ~45 minutes after the poll was created.
Left column is Iris votes, Right column is Kairo votes
- Data logged by MrL314

2087,3049
2087,3049
2087,3049
2087,3049
2087,3049
2087,3049
2087,3049
2087,3049
2087,3049
2087,3049
2087,3049
2087,3049
2087,3049
2087,3049
2128,3070
2087,3049
2128,3070
2128,3070
2128,3070
2087,3049
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2128,3070
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2157,3099
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2157,3099
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2199,3132
2241,3147
2199,3132
2199,3132
2241,3147
2241,3147
2241,3147
2241,3147
2241,3147
2241,3147
2241,3147
2241,3147
2241,3147
2199,3132
2241,3147
2241,3147
2241,3147
2241,3147
2241,3147
2241,3147
2241,3147
2241,3147
2241,3147
2269,3164
2241,3147
2269,3164
2241,3147
2269,3164
2269,3164
2269,3164
2241,3147
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2269,3164
2293,3174
2269,3164
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2293,3174
2326,3191
2293,3174
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2326,3191
2357,3578
2326,3191
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2357,3578
2383,3597
2383,3597
2383,3597
2357,3578
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2383,3597
2416,3611
2416,3611
2383,3597
2383,3597
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2416,3611
2544,3619
2544,3619
2544,3619
2544,3619
2416,3611
2416,3611
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2544,3619
2577,3631
2544,3619
2577,3631
2544,3619
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2577,3631
2596,3645
2596,3645
2577,3631
2577,3631
2596,3645
2596,3645
2596,3645
2577,3631
2596,3645
2596,3645
2596,3645
2596,3645
2596,3645
2596,3645
2596,3645
2596,3645
2596,3645
2596,3645
2596,3645
2596,3645
2596,3645
2596,3645
2623,3663
2596,3645
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2623,3663
2654,3670
2623,3663
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2654,3670
2738,3709
2654,3670
2654,3670
